artist,artist_id
Margo Price,09yvLritEUxHrzx5TlFvbl
Ganser,32ONqBogM4wH7VRbcMZYtE
Anna Tivel,112l2WmZaTlJcl13f4iFAs
Zach Top,4FGPzWzgjURDNT7JQ8pYgH
Lathe of Heaven,6sU6B7cuctosL0gOhgeBdr
The Tragically Hip,0YMeriqrS3zgsX24nfY0F0
Haruomi Hosono,370nbSkMB9kDWyTypwWYak
Terre Thaemlitz,7fzLcx63YD00IsWgK4ypDh
CMAT,3VBNIRx1LxVdRqOiPgkLwv
Wolf Alice,3btzEQD6sugImIHPMRgkwV
Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu
Sir Chloe,6rniTPs9zN26kYnkPdFl1U
Hunx and His Punx,5xTWck1vHVlTTI0jTQzUuF
Nourished by Time,7zNkqI6qRr0OJ4XO1Pw29g
Alison Goldfrapp,72f5AR6hMeL3BwtcO7HqhS
Kathleen Edwards,7x4So74vIUx3DaLk93JCFf
Water From Your Eyes,6hYlNLoZJg74dVhA8FHIc0
Kaitlyn Aurelia Smith,6P86FLVAK4sxu8OhyQJBvH
Scree,671sBQXQM2vHSu0AGvpfDs
Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM
Superchunk,7lmde7T1WJPFwv1eR6melP
Charley Crockett,3BJX1nYizKvWpZTY5HOAr4
Pavement,3inCNiUr4R6XQ3W43s9Aqi
Susumu Yokota,3ND5NWoKzlelYDDyWqSQpQ
Hand Habits,5poU7FPEYoBlwjzOEWMbX5
The World Is a Beautiful Place & I Am No Longer Afraid to Die,5bCNJ1ICzdnzK0yoCIP2Ip
Pino Palladino,5vjTuHApbJQOo9L3Ro2KM8
Deftones,6Ghvu1VvMGScGpOUJBAHNH
Laufey,7gW0r5CkdEUMm42w9XpyZO
Audrey Hobert,4N0TAwz9vhnQtjCqS65aKS
Chance the Rapper,1anyVhU62p31KFi8MEzkbf
Maroon 5,04gDigrS5kc9YWfZHwBETP
Mark Ernestus’ Ndagga Rhythm Force,519lIb4ZQM267yqJrVFhhY
Kaytranada,6qgnBH6iDM91ipVXv28OMu
Steve Gunn,7uLXW75DlTRahz2WKJZGeO
Racing Mount Pleasant,5zaSiNpGxS2lOvZTIZiOQX
Dijon,0knGpCTbmG4ctl1wzYRZs4
Pool Kids,6yoW6SfviQ5D4Wa5jGxh7f
Rio Da Yung OG,6O1vRHWVGKJTnWuJmItnsx
Various Artists,5JIVodFcCSJg9EEBsMQyYd
Cass McCombs,2iUVQjheBnvOt8vaBrxXJz
Radiohead,4Z8W4fKeB5YxbusRsdQVPb
Pile,44pUNjqg4mExLyFHnB3Bqf
Mondo Lava,29FujBxc4P5mvmNas09T0F
MGK,6TIYQ3jFPwQSRmorSezPxX
Phil Elverum,7Ht57YadlBXcFJDK3plmhO
wolfacejoeyy,7LjXznzJeKuvjRbNcBWd6Z
Quadeca,3zz52ViyCBcplK0ftEVPSS
coatshek,1vyLURMcHJloqO9yj6tT9k
Field Medic,4wMfqR1EZagrSlYndItxGQ
Osees,0Ynh5WKqwbdYqJUpVpfEGS
Anamanaguchi,2UwJRAgSOi1zcLkvUNc8XL
Recoechi,16RxzjUYa7obi9QXP02WO1
No Joy,5N7DAaXV1EVXS8h2wyYrx2
Big Freedia,2gyv1akuIB9fQvXoGSPaJr
Vylet Pony,1kM5BZXs7FFN8Dj1WpgH2j
Toni Braxton,3X458ddYA2YcVWuVIGGOYe
Nick Drake,5c3GLXai8YOMid29ZEuR9y
Amaarae,21UPYSRWFKwtqvSAnFnSvS
Ada Lea,3sE8O47mEFWR6pL0rwnAHy
Mal Blum,4tT8fWyOy0hVI7jo9fJmXX
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2
The Black Keys,7mnBLXK823vNxN3UWB7Gfz
Ali Sethi,3NegWDGp038A3FIi3gSYzl
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp
DJ K,0QHgL1lAIqAw0HtD7YldmP
Xaviersobased,2oM7LMPFu882oC6jSwEqjd
Heatmiser,59IPo3F7aZifhZtHnoGHbo
AraabMuzik,2iXdwLTWyFhlN1MQWIymvM
2pillz,0XtC2d9ZVigYA7iMy5YkW0
The Armed,4V5obzWMr7BHZrjOiQwB4K
Rounak Maiti,5c4ikaZ8nPKn10NLZZCF0I
Tommy Genesis,2qDdxfKUpYg8wc49KIuT3b
Shudder to Think,3PP5Hnii2zI9Ufm7jFkers
Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn
Wisp,3TJZG17pjOKXwx1ELKJPfm
Sofia Kourtesis,7wXTWO45lqpUejDkike0Gf
zayALLCAPS,2i0QIuHqoui64KdE9xxAbL
Freddie Gibbs,0Y4inQK6OespitzD6ijMwb
YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b
Lelo,6RcgNRwyY9YNTXd9luk8JW
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2
Homeboy Sandman,5s1QeAf7U5ELP9PTeLaicb
Chuquimamani-Condori,4vV7A3OS088S8Ps2NtTcRO
Loe Shimmy,6UIpxj5ggLdOebFVCOxVax
Cory Hanson,2XG4LWrmKXFA1PqnUsuPj6
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e
rRoxymore,559oW3wcVAW5tcL1DQniyf
Far Caspian,0EzsHuJxUDcfqSqvoPhKG4
Deee-Lite,4eQJIXFEujzhTVVS1gIfu5
Tyler Childers,13ZEDW6vyBF12HYcZRr4EV
Ryan Davis & the Roadhouse Band,7Ah0xZVyWfAL3Vd7OVvKuo
Cleo Reed,1gLcT6lcN6AHTRdpRSXAyi
forty winks,0jpSfOVe0Lec1vz5VjQH7S
"Tyler, the Creator",4V8LLVI7PbaPR0K2TGSxFF
Raekwon,2yQf6b8hxahZaT5dHlWaB1
Anycia,4bOqkIGQCcuZgjfDxNuX1I
Che,5A7T1LAGJg5NXySBoIKUmF
Laura Jane Grace,4yfPiAauSgUfyc4k4WtwM9
Alex Warren,0fTSzq9jAh4c36UVb4V7CB
Two Shell,4mcHKwboFDmpDBQ4fiOrf3
Sofie Birch,6kEyGr2dFnzcKGxpHmnJnn
Jonathan Richman,6hkch2KhRl0tywpeVK5xR5
JACKBOYS,7A8S43ryYdbWpJKeHRZRcq
Disiniblud,58yu67FLeWi0auMgHNfIHt
Le Diouck,1EeZGqKiuxGQlAWqGDkd1C
Connie Converse,2wAPeWKKHrPZ3UUqnw9Bpy
Sly and the Family Stone,5m8H6zSadhu1j9Yi04VLqD
Jim Legxacy,7IrBqZo6diq3hV3GpUhrs2
Burna Boy,3wcj11K77LjEY1PkEazffa
$ilkMoney,6hj2p7pzusn5Fcdi35Yedr
Alex G,6lcwlkAjBPSKnFBZjjZFJs
Takako Minekawa,3XxrXIYWH5PpuTbYSXDOZw
DEMIYAA,2VFnxZPBUoglahI0kc6dvc
gyrofield,2yKb2sD6dystFr0tTmSu2X
Brutus VIII,5Rjjv8zylcQ7E6BdboJu2A
Open Mike Eagle,5CuU6SRJjbbZL926nSGGxX
DJ Haram,13VynrBSvRLrAX5YqdD1vl
Jonny Nash,4VnaEWTHIwbqbDCwNPpfde
Wet Leg,2TwOrUcYnAlIiKmVQkkoSZ
Tony Njoku,1vkVP0FhEbUzaU1ztl7YmK
STOMACH BOOK,079cEjjSpv5dOLH5xsGdvN
Tori Amos,1KsASRNugxU85T0u6zSg32
Wavves,6bUJpbekaIlq2fT5FMV2mQ
Clipse,2J257euzcjnDLipsyJH3F2
d.silvestre,1Ry5NkSxX1Ye7kTfUuLL2c
MikeBrokeasf,5KUuALDuZaq5ZutWlz0EsT
Double Virgo,6z7qEMTNZigz2k3qozRYw1
Jeremiah Chiu,1RpHbIW5eeEBs693nyrhSa
Boundary,1hJO0ngj5eZT0uNzuZpXi8
Smut,0F2wxiqB68YCLtQaCe9e6Z
Kesha,6LqNN22kT3074XbTVUrhzX
Pan American,3vAaWhdBR38Q02ohXqaNHT
LAZER DIM 700,3CE6MgsLpKMDfYFtexgc8U
Ben LaMar Gay,4ITyby2i26NhM69kXNpIdR
Media Puzzle,1JFW3ACD123onrCbzNag5Z
Maxo,6xS5PpBWaVYraexEkEjjXv
Juan Wauters,7CKkZZW3XtnPmqlwaElmoV
,3IZrrNonYELubLPJmqOci2
Karol G,790FomKkXshlbRYZFtlgla
Baby Mel,74aMbFWmUsvRDYTLJqvNY4
Pi’erre Bourne,3x3jSlhyv5CiCZDZlaTq0M
Biosphere,2rcnAZ6DvORQ365X3zVYpr
KATSEYE,3c0gDdb9lhnHGFtP4prQpn
Nikki Nair,27JCep1zDO3K8GY50trDo6
Merzbow,5UezsklPScipW64XJm7qql
Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW
Matmos,0xBkYJzwFzcIYev4fOkvk0
Blonde Redhead,5isqImG0rLfAgBJSPMEVXF
Lorde,163tK9Wjr9P9DmM0AVK7lm
Nick León,3qOGTt4eTeEkCn3efhAGu2
Gelli Haha,4O0acxqHYUQGGMqOICiSeI
Cocojoey,26yVGPpi4PCmRN19HSesJe
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT
Yaya Bey,6tpaMMCs8X6o8j9H5OmWmT
U.S. Girls,3AHFDfqhSqPBecjQDIOIJA
Benson Boone,22wbnEMDvgVIAGdFeek6ET
S.G. Goodman,7hzn6FoCsEaUNPnPn7TJWd
James Holden,15e0X6NuMsVuHi7AZhcfyI
Slick Rick,1W9qOBYRTfP7HcizWN43G1
Facta,5qdAJ2QyXRasXUmyesONEn
Aaron-Carl,2YxILaNA0Ftvc7Y4UHf4oj
Metallica,2ye2Wgw4gimLv2eAKyk1NB
Hotline TNT,5DDuwU1X2Aqdp3CxfXstRe
BAMBII,6kf69CwzgodrETRgzcjX95
Buscabulla,0MoaBi6dSquXp6rrlqlF8R
Haim,4Ui2kfOqGujY81UcPrb5KE
Lucy Gooch,5IzQ6cbQ5QAL3fmUwlTHRK
DERBY,5WFUn8WTVNDiOHZCEzxIQZ
Annahstasia,1hElmDU1PFIf4JbkdOcMRE
King Gizzard & the Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn
Brandee Younger,1DT11FntvMnaU47ZZWlTpB
Phoebe Rings,6bU6vdMpAqDEoWsj8iUNEf
Maiya Blaney,0SdETlosHnWN9VNqJKpFGl
The Pretenders,0GByy3DcfbQwDvXGCWmzv9
Black Moth Super Rainbow,4UHzJP2iKVf0RhKIv7ZE2l
Lyra Pramuk,4nIgCJvBTi7M3pFn2ELhxm
Little Simz,6eXZu6O7nAUA5z6vLV8NKI
Lifeguard,17HkDJlzsK1YoBja2XmY5O
Lil Wayne,55Aa2cqylxrFIXC767Z865
MARINA,6CwfuxIqcltXDGjfZsMd9A
Salem 66,2x7v18ybC3Brbyw4BmeOcu
Hayden Pedigo,4OR0gbDLGgJ4fxoXB0ZCYZ
Emahoy Tsege Mariam Gebru,1D86M7ewUQH1vS0QsXCmI9
Planning for Burial,4nhaUpMjrBW8vywsP2yzzD
Pulp,36E7oYfz3LLRto6l2WmDcD
Home Is Where,1umUe3DQdjTkk0LoMuwcj2
Qasim Naqvi,3HMjcIM1vwBifTgdYZlv6D
Addison Rae,4gvjmrtzydbMpyJaXUtwvP
Sophia Kennedy,1bQat2UgYwJAsNOrZxcfa5
Sparkheem,3G0eNhLKo6drKbE4r6ZXJc
Oneohtrix Point Never,2wPDbhaGXCqROrVmwDdCrK
Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c
Turnstile,2qnpHrOzdmOo1S4ox3j17x
EBK Jaaybo,7iKgSlIINjat3bsCYiNMYX
Rome Streetz,7c0zOr4ffb5eteXrxWt7oB
Purelink,2kUrBcfh7PVIivyYGAVjrQ
PlaqueBoyMax,79NDEw5QWlDC9KaIbogNhS
Garbage,6S0GHTqz5sxK5f9HtLXn9q
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
yeule,1WZarnZpWEv7dDtjAETt4X
Matt Berninger,27jRNjIvlUcGN7FBRDnqhp
Obongjayar,6l7R1jntPahGxwJt7Tky8h
Lauren Duffus,0jYQCtRXU4qVKfMjqnn05l
Heinali,5v5c1zBRKBwkDh4sQEHcMx
Aesop Rock,2fSaE6BXtQy0x7R7v9IOmZ
Alan Sparhawk,7ljTofQBh5fR5SYfGHRYs8
Kilo Kish,7lsnwlX6puQ7lcpSEpJbZE
The Jimi Hendrix Experience,776Uo845nYHJpNaStv1Ds4
Repetition Repetition,5kmG8VpfjzkNvbGoxDc60w
caroline,4Ge8xMJNwt6EEXOzVXju9a
Shura,1qpR5mURxk3d8f6mww6uKT
Photographic Memory,64x3JwG14gkRHW8lVDvvSV
Florry,5b1DzFl2lTpE9v5fjAZ9kn
Friendship,3IxsVnysqUrIyJ3eKdpugA
Cola Boyy,6CZN3MHeeEXh5PxKZivIa8
Ty Segall,58XGUNsRNu3cVOIOYk5chx
rusowsky,1XEVu7gdRFfzEFqsPrancH
HiTech,2Au9zIICTEr0oeV1iQrJ6X
These New Puritans,7w0e6inAfRWIEb9tWVgB7a
Lucy Bedroque,2I8H267eH5va9da4vGt38O
MSPAINT,5sn6aQFrJvjsSIuaomA4to
Townes Van Zandt,3ZWab2LEVkNKiBPIClTwof
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
Smerz,1f8PlfSHEW6fHnILSzm8dI
Tune-Yards,0asVlqTLu3TimnYVyY5Jxi
Cole Pulice,7JUWlvLs6PzPMLryj6sdCh
Stereolab,3Rj0tDHoX7C5NFq5DKIpHt
Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU
Wrecked Lightship,5itLEPcFvMHfLHvvHWfZkg
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
Lido Pimienta,1IdkKQ9CM1i0wygfxYV4Z3
Lefty Gunplay,1jiZvw42D4oquLl24x2VWV
Maren Morris,6WY7D3jk8zTrHtmkqqo5GI
Chuckyy,0HRGx78eQaMqoHoopLfi2h
Youth Code,15VmPRQCJEZWaZWgHEroj0
Grails,3VdjlG06JkVAnZ19TR7ZHZ
MIKE,1wlzPS1hSNrkriIIwLFTmU
Kate & Anna McGarrigle,7krh6ZjG7i7jvLGiG3YNJF
Kali Uchis,1U1el3k54VvEUzo3ybLPlM
James Krivchenia,4eEDUmQbFKt7p4UNEwuUUi
Alien Boy,65vqyT3OjG2zvb3cO1s44j
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB
Mclusky,3xA9AB0f4BVjsSlyQc12iE
AMORE,2JfbhY0uEDLi1d89RzdU9S
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t
Sleep Token,2n2RSaZqBuUUukhbLlpnE6
Preoccupations,2bs3QE2ZMBjmb0QTqAjCj3
Erika de Casier,1nIJEqPyIj5qutlgWNmQB0
PUP,6A7uqgC2N1nUhrCLAytHxN
Yung Lean,67lytN32YpUxiSeWlKfHJ3
billy woods,39vtb2iiz3079nqfL5nfFc
Mei Semones,3Cp20KSVlMlFuOdqiqHFGR
Zukenee,3FFfAZsrsx8ot1m6H5vzQc
Alice Coltrane,0oKYiTD5CdNbrofRvM1dIr
Kara-Lis Coverdale,5pHUdo5THDtmE9yu3iC2hA
Mark Pritchard,7wDfZhaCORLgP3K62R3MJK
André 3000,74V3dE1a51skRkdII8y2C6
Lunchbox,4yBk76oymBKTd7fs3XpbId
Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf
goat (jp),2iUoTdqAyy1O4WfXxfQ8Pm
Paco Cathcart,7CDhwMbKFGCA4USl0kJ6vC
Loscil,3GM5cpCBadq2PMHjFoEvhK
HeadHuncho Amir,1DRED2ii095cFu6EY1YkNm
Rainy Miller,53LAWIqLkYE3N2UFod80A3
Anthony Naples,20bB5IFRjHw1EIAHvZ3tgd
Blondshell,7qrEXiLLnWkkYHhadZ1Oij
ST6 JodyBoof,1ISBldTyFMOfLiJHgEDXqh
Model/Actriz,7gdb1IQFHFQqCc5KoLTYNC
Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3
Samia,1Uk1GyijF6fSfX4mWq5bfR
POiSON GiRL FRiEND,5Yur3Z4Wrte4GfVCAbxObl
Lucy Railton,7Gqr7VNPRfacOcjlqORrq9
Jenny Hval,5eerVxtb9lY9p6D7m89Bs7
Tennis,1ybAN3utgdoUL1MUCtH4QM
Satomimagae,07NBhmVpDB2zdNK1fIyWyf
Jensen McRae,11dABkjSoOjcP9p3TFSNRj
Fly Anakin,5WybyjV2fRyRQcJrmmiifF
Emma-Jean Thackray,3UgcksTtuB1Jnn8BrisEiC
William Tyler,3iexGtoBAyCUbxOKeru5py
Gloorp,4QVnoNeoWQkbb9oOG4Ce2f
Mamalarky,2AWfnWrfFVhRPVX4JN9a6g
Adrianne Lenker,4aKWmkWAKviFlyvHYPTNQY
Self Esteem,3K9muOlJVKLgH4SIwwZiDe
Eliana Glass,1PJjW9Z03G2R0q6GM6QgFc
Djrum,4HwlolvniI44ETSg5tajeZ
Niontay,3wkT6THiKqbXC0jJpfKL7t
Nazar,6fvN9GmMCVKb5LY0WsnjFP
Def Leppard,6H1RjVyNruCmrBEWRbD0VZ
Natural Information Society,7uVynPDWBSuIkL6uTAQSxt
Maria Somerville,5JjgffJf4s4KF29xdEaAQd
Daughter of Swords,4PAN1zWvarcHxfPhJOAHMg
Salami Rose Joe Louis,6EHS9kZ9PpeXaJ4wZO3FSX
SHERELLE,2TFDQkQ7LahhuwL9p7R6MO
Broncho,6Lll1MPPak4m4vZKuJB264
fantasy of a broken heart,7fgs0Ym1ukMZDgKjx8mbMe
Deerhoof,7AZwAitWq1KcFoIJhRWb6V
Hieroglyphic Being,6zh25V1pQ8IQpxDYVmFSrT
Papo2oo4,4S7E6TrfOatG9H3YuYV4V2
Bill Fox,6yo40OUoJZ6SLj7FtPdk4k
Raz Fresco,08RVkVEdLLoTgd5YbXHOIC
Davido,0Y3agQaa6g2r0YmHPOO9rh
Ribbon Skirt,4Ymrgi3r6TZQwmBSp3jBca
Corbin,3K40SMapVhc8PxyYFofHff
Tom Waits,7x83XhcMbOTl1UdYsPTuZM
tdf,1R2vMNz6qxQFMLynRurh3t
Julien Baker,12zbUHbPHL5DGuJtiUfsip
Beirut,6pmxr66tMAePxzOLfjGNcX
Joshua Bonnetta,5I7KYNlulIe5EoO0UbEUNK
Ken Carson,3gBZUcNeVumkeeJ19CY2sX
Tunde Adebimpe,3and7uje1nuMnKJczCKox9
Cortisa Star,7oM0bObDNv5Uv1TNyDoqEG
Sarah Mary Chadwick,1UDmSmzxcGZxP3IYpafgpn
Yetsuby,3iTRvuekVM4DQ7t2bWSv1l
Juana Rozas,73flNW7YBYMrnp83TEl5Hq
Momma,5Wj0an60VgRckYV9zlDe1e
Will Smith,41qil2VaGbD194gaEcmmyx
Huremic,1fQ46lgoUCz8FVXdTVNk0a
Walt McClements,4WXIlTVz6YDyV1iVQHU3IE
Gregory Uhlmann,3apnkNwaHdhoNIvKVMiC5S
duendita,4vZBqD3QXrKiE3mZ6zHr22
Triple Six Mafia,26s8LSolLfCIY88ysQbIuT
Kali Malone,1I0rODlh5K9pW3JhEla2H9
Dirty Projectors,5VF0YkVLeVD4ytyiyVSIiF
Chy Cartier,4qxFzMJxrNzlv11J7pCY5q
Macie Stewart,4bAFS16s5qBFYuOM4gQ5Xv
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ
Rachel Chinouriri,4wrzxtBZw20ufDstKyTnnP
Miki Berenyi Trio,3Scu03tOOZROXquwsaUj19
Barker,3LEGPWdr7sarYtf2u0ETWN
Sleigh Bells,59pWgeY26Q6yJy37QvJflh
Penelope Trappes,6shE4Y1z4lzRqoDp65XfzT
Skrillex,5he5w2lnU9x7JFhnwcekXX
Florist,0VIiIxTNLeJOPoMLabwNtr
Djo,5p9HO3XC5P3BLxJs5Mtrhm
Jane Remover,2rLGlNI6htigNxx172qxLu
"Black Country, New Road",3PP6ghmOlDl2jaKaH0avUN
YT,0YsYhESxyHC1kuMm9Mbm3C
New York Dolls,0WhGV9lzljq2QKJ8ipw6jx
Population II,6PPO5rGb8UVDvR1XjHEWZd
Los Thuthanaka,4vV7A3OS088S8Ps2NtTcRO
2hollis,72NhFAGG5Pt91VbheJeEPG
Miłosz Kędra,43JBMYEGjtG25QfTpngBWM
DJ Koze,1kR99O4MgSTasyeJh8UFCg
Xang,1fCdub35SOEgPYVfSrYTI6
water margin,62UkQuPfwmboPjptlkMUp8
aya,7IlRNXHjoOCgEAWN5qYksg
OHYUNG,15Va8zoP4v4Z3T8qwCYAXG
SPELLLING,7rlAAAiWScpsT1hmgURAmh
Destroyer,22ojy4H4ZVpowC4lRRC8In
Sandwell District,51CANyDEIfgYt0mwLKCpZ6
Unrest,0Hko1NgISX00BkCPOuyVzQ
Jefre Cantu-Ledesma,5MqgtmMdtrsZIQpZzLhpX5
Great Grandpa,1Hs5RG6WIwUSJLxRYWaOW6
DJ Python,1LoZxxInSyuVFKSMAB4BPl
The Beatles,3WrFJ7ztbogyGnTHbHJFl2
Lonnie Holley,7dgLSJ4HaXx0dy5V2BMQe5
Lucy Dacus,07D1Bjaof0NFlU32KXiqUP
Deafheaven,4XpPveeg7RuYS3CgLo75t9
Unknown Mortal Orchestra,1LeVJ5GPeYDOVUjxx1y7Rp
Perfume Genius,2ueoLVCXQ948OfhVvAy3Nn
My Morning Jacket,43O3c6wewpzPKwVaGEEtBM
Kassian,4w6VhlUuzrUoJ5NbCpefXx
YHWH Nailgun,2StXQyMrlYk1wWVX72InuJ
Vijay Iyer,27DeRe5LjIt9ZPXUjF90h6
DJ Elmoe,44HVfLGyIXhewPJc0TP0tt
Saba,3o2dn2O0FCVsWDFSh8qxgG
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx
Dutch Interior,7a0nCvxmDN4c68agh8ajMn
Sharp Pins,0eTeMvSkCzEnLH4EgHhrzN
more eaze,0noDJa3OSog9g1jqw5VygY
Lucy Liyou,0oGtixfxP0ukNPM6KVuwC1
Black Flag,5Mhs3Eu8lU6sRCtRYsmABV
Hiroshi Yoshimura,1DGpHnPOpMYY780hcQHmPB
Japanese Breakfast,7MoIc5s9KXolCBH1fy9kkw
Raisa K,11H2kC5a9Jk0IJ0gPUrZl9
Jorg Kuning,2GTRNls3GvsfwLW39oAZ5S
Nels Cline,3s6o8vxtYJ1utkWl8EXxUp
Anoushka Shankar,6MTByljF8u5omBltY2VKPU
Ghost Mountain,5Hxx7FpVvps2OZLl6LUfJi
Patterson Hood,5JnjssuFBg104paXN0mKKn
Curren$y,6X8WdFjrNhXATMDSs26aCc
Twin Shadow,6fLrPFLWLSCrp7gcTZXcKb
Playboi Carti,699OTQXzgjhIYAHMy9RyPD
food house,41f6TKH0EoBnj3N4xIp26g
Skrilla,3qdQnBjEBHrk5nZYxXdV1U
Whatever the Weather,49y4h4GL1qZZ3KwYIb9NfQ
Hekla,3Z6isQPeMjEstrsYXlJknx
SASAMI,4pdoRs7yHNXakMobf8M9Oz
Françoise Hardy,7x3f7c0fBanNlQwpx1255g
Circuit des Yeux,7ASMj5TvVCYDILcfTockhI
thirteendegrees °,2fZrEBAl5NNZCCl3KUOYsi
Takuro Okada,4d4VL0LIBWkVXAq4YZ07wm
The Tubs,6kdAf6E0EouXKBpBZN1Sx9
Kedr Livanskiy,7deuX0YejjlcB4uLcdgEDW
Harto Falión,0wAEYYaHOqYJhHaSvpZUwP
Hamilton Leithauser,3ZXXJ9nO1Dn9B0AJ25eAQY
JENNIE,250b0Wlc5Vk0CoUsaCY84M
TOKiMONSTA,3VwKSHAfgzV1DOHV0aANCI
Lust for Youth,18x7cMASHAS2NJ4kcLJa1u
Horse Vision,28gAkTGnjn8QZllb4EU4OM
Star 99,0SclPISF5pHutoTooqCfFJ
Lady Gaga,1HY2Jd0NmPuamShAr6KMms
Truck Violence,37hhPwqpgSJ3sVixiThL0l
Kilbourne,2puJJyoBDCIvN9N7M4yRh3
Macy Gray,4ylR3zwA0zaapAu94fktwa
Ted Lucas,6Ej6u8fvyHFFKn5GaQ5cPn
Alabaster DePlume,3LfKt6bEMIfFIEryeai8Mm
Kevin Drumm,5CreTojV18Ps5Bl4AOn5Nh
Top$ide,6VuSDGvIuVHhfC1caRJbEM
Marie Davidson,7xJVICbAWizNBKBD3mRWjF
Yves Jarvis,19h4y2F9duQ776bv1YhQYt
Tobacco City,00Af3oygT0HC6ld0c2HwFX
