artist,album,score,genre,label,reviewer,year,review_date,length,url,genre_clean,genre_list,genre_cleaned,genre_len,main_genre
Ami Taf Ra,The Prophet and the Madman,7.5,Jazz,Brainfeeder,Beverly Bryan,2025.0,2025-09-05,635,https://www.pitchfork.com/reviews/albums/ami-taf-ra-the-prophet-and-the-madman/,Jazz,['Jazz'],['Jazz'],1,Jazz
Greg Freeman,Burnover,8.3,Rock,Transgressive / Canvasback,Grace Robins-Somerville,2025.0,2025-09-04,837,https://www.pitchfork.com/reviews/albums/greg-freeman-burnover/,Rock,['Rock'],['Rock'],1,Rock
The Beths,Straight Line Was a Lie,7.5,Rock,Anti-,Linnie Greene,2025.0,2025-09-04,599,https://www.pitchfork.com/reviews/albums/the-beths-straight-line-was-a-lie/,Rock,['Rock'],['Rock'],1,Rock
Stars of the Lid,Music for Nitrous Oxide (30 Year Anniversary Remastered),8.5,Electronic,Artificial Pinearch Manufacturing,Mark Richardson,2025.0,2025-09-04,1034,https://www.pitchfork.com/reviews/albums/stars-of-the-lid-music-for-nitrous-oxide-30-year-anniversary-remastered/,Electronic,['Electronic'],['Electronic'],1,Electronic
Sabrina Carpenter,Man’s Best Friend,7.9,Pop/R&B,Island,Walden Green,2025.0,2025-09-03,741,https://www.pitchfork.com/reviews/albums/sabrina-carpenter-mans-best-friend/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Margo Price,Hard Headed Woman,7.6,Folk/Country,Loma Vista,Will Hermes,2025.0,2025-09-03,748,https://www.pitchfork.com/reviews/albums/margo-price-hard-headed-woman/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Ganser,Animal Hospital,7.5,Rock,Felte,Sadie Sartini Garner,2025.0,2025-09-03,917,https://www.pitchfork.com/reviews/albums/ganser-animal-hospital/,Rock,['Rock'],['Rock'],1,Rock
Anna Tivel,Animal Poem,7.6,Folk/Country,Fluff & Gravy,Linnie Greene,2025.0,2025-09-02,582,https://www.pitchfork.com/reviews/albums/anna-tivel-animal-poem/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Zach Top,Ain’t in It for My Health,7.2,Folk/Country,Leo33,Millan Verma,2025.0,2025-09-02,605,https://www.pitchfork.com/reviews/albums/zach-top-aint-in-it-for-my-health/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Lathe of Heaven,Aurora,7.1,Rock,Sacred Bones,David Glickman,2025.0,2025-09-02,579,https://www.pitchfork.com/reviews/albums/lathe-of-heaven-aurora/,Rock,['Rock'],['Rock'],1,Rock
The Tragically Hip,Fully Completely,9.4,Rock,MCA,Alex Robert Ross,1992.0,2025-08-31,3562,https://www.pitchfork.com/reviews/albums/the-tragically-hip-fully-completely/,Rock,['Rock'],['Rock'],1,Rock
Haruomi Hosono,Tropical Dandy,8.0,Electronic / Pop/R&B,Stones Throw,Joshua Minsoo Kim,2025.0,2025-08-30,918,https://www.pitchfork.com/reviews/albums/haruomi-hosono-tropical-dandy/,Electronic / Pop_R&B,"['Electronic', 'Pop_R&B']","['Electronic', 'Pop/R&B']",2,Electronic
Terre Thaemlitz,RA.1000,8.3,Electronic,Resident Advisor,Jesse Dorris,2025.0,2025-08-29,1370,https://www.pitchfork.com/reviews/albums/dj-sprinkles-ra1000/,Electronic,['Electronic'],['Electronic'],1,Electronic
CMAT,EURO-COUNTRY,7.7,Pop/R&B,AWAL,Laura Snapes,2025.0,2025-08-29,1226,https://www.pitchfork.com/reviews/albums/cmat-euro-country/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Wolf Alice,The Clearing,7.3,Rock,Columbia,Samir Chadha,2025.0,2025-08-29,751,https://www.pitchfork.com/reviews/albums/wolf-alice-the-clearing/,Rock,['Rock'],['Rock'],1,Rock
Earl Sweatshirt,Live Laugh Love,8.5,Rap,Tan Cressida / Warner,Alphonse Pierre,2025.0,2025-08-28,977,https://www.pitchfork.com/reviews/albums/earl-sweatshirt-live-laugh-love/,Rap,['Rap'],['Rap'],1,Rap
Sir Chloe,Swallow the Knife,6.8,Rock,OneRPM,Marissa Lorusso,2025.0,2025-08-28,584,https://www.pitchfork.com/reviews/albums/sir-chloe-swallow-the-knife/,Rock,['Rock'],['Rock'],1,Rock
Hunx and His Punx,Walk Out on This World,7.3,Rock,Get Better,Eric Torres,2025.0,2025-08-28,685,https://www.pitchfork.com/reviews/albums/hunx-and-his-punx-walk-out-on-this-world/,Rock,['Rock'],['Rock'],1,Rock
Nourished by Time,The Passionate Ones,8.4,Pop/R&B,XL,Samuel Hyland,2025.0,2025-08-27,791,https://www.pitchfork.com/reviews/albums/nourished-by-time-the-passionate-ones/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Alison Goldfrapp,Flux,7.2,Pop/R&B,A.G,Katherine St. Asaph,2025.0,2025-08-27,647,https://www.pitchfork.com/reviews/albums/alison-goldfrapp-flux/,Pop_R&B,['Pop_R&B'],['Pop/R&B'],1,Pop/R&B
Kathleen Edwards,Billionaire,6.8,Rock,Dualtone,Amanda Wicks,2025.0,2025-08-27,650,https://www.pitchfork.com/reviews/albums/kathleen-edwards-billionaire/,Rock,['Rock'],['Rock'],1,Rock
Water From Your Eyes,It’s a Beautiful Place,8.3,Rock,Matador,Philip Sherburne,2025.0,2025-08-26,1065,https://www.pitchfork.com/reviews/albums/water-from-your-eyes-its-a-beautiful-place/,Rock,['Rock'],['Rock'],1,Rock
Kaitlyn Aurelia Smith,Gush,7.4,Experimental,Nettwerk,Sasha Geffen,2025.0,2025-08-26,669,https://www.pitchfork.com/reviews/albums/kaitlyn-aurelia-smith-gush/,Experimental,['Experimental'],['Experimental'],1,Experimental
Scree,August,7.4,Jazz,Ruination,Daniel Bromfield,2025.0,2025-08-26,571,https://www.pitchfork.com/reviews/albums/scree-august/,Jazz,['Jazz'],['Jazz'],1,Jazz
Mac DeMarco,Guitar,7.8,Rock,Mac’s Record Label,Grayson Haver Currin,2025.0,2025-08-25,1114,https://www.pitchfork.com/reviews/albums/mac-demarco-guitar/,Rock,['Rock'],['Rock'],1,Rock
